Country Name,Country Code,Region,Income Group,Female Secondary School Enrollment,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,Latin America & Caribbean,High income,"School enrollment, secondary, female (% gross)",2.365010023,2.491940022,2.537489891,2.840440035,2.819190025,2.985899925,3.414000034,4.051249981,4.362949848,,,8.573249817,8.06427002,,9.216139793,8.919449806,8.538689613,,9.39070034,,,12.83843994,,9.805049896,10.36993027,12.41648006,,,,,,0,,7.026060104,6.403299809,9.695249557,15.40396023,15.48655987,22.9091301,28.39213943,33.01845932,36.81774902,38.41437149,38.6094017,38.47386169,37.8936615,38.63362122,39.84869003,41.13159943,,,,
Albania,ALB,South Asia,Low income,"School enrollment, secondary, female (% gross)",,,,,,,71.87113953,,73.99371338,76.28617859,77.34958649,78.41153717,75.74299622,72.93174744,73.35456848,75.60738373,79.01051331,80.14476013,82.22361755,83.39620972,84.69454193,85.85664368,76.63288116,70.00112152,66.67153931,65.11148071,64.15637207,64.32389069,,66.48526001,67.2065506,70.30577087,,,75.67777252,79.82292175,82.1377182,84.82653046,86.57376099,88.65923309,90.84252167,93.56613922,95.54988098,99.1476593,99.16857147,98.89556122,96.77153015,95.98905945,96.66468048,95.76969147,92.58381653,93.36308289,91.38960266
Algeria,DZA,Sub-Saharan Africa,Lower middle income,"School enrollment, secondary, female (% gross)",,7.195119858,7.798560143,9.123970032,10.04008961,11.17687988,13.21103954,15.97150993,19.42024994,22.04339981,24.06866074,26.01753998,28.90563965,,35.08869171,38.08715057,42.28564835,44.28641129,45.61753082,52.52381897,53.14986038,53.0739212,53.77782822,54.55730057,56.21012115,56.33538055,56.50801086,57.94105148,,65.93950653,66.87239838,71.65625763,75.57608795,79.39983368,83.91586304,86.40373993,88.08473969,77.09458923,82.53524017,98.05190277,103.4374924,105.8628235,,,,,,,,,,,107.6642532
American Samoa,ASM,Europe & Central Asia,Upper middle income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,86.58670044,89.86927795,93.96598816,92.46009827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,22.97101021,23.49398041,18.92404938,29.36893082,37.6255188,63.78504944,,,,,,,63.13959122,,,,,,,,,,,,,,,,,,,78.66066742,78.35856628,78.73786163,90.55422211,91.1206131,89.2249527,89.34465027,90.31649017,93.55609131,96.37330627,93.99720764,92.54206085,92.29741669,92.01053619,94.93450165,94.58873749,96.59140778,95.46256256,96.74295807,97.89700317,97.11418152
Angola,AGO,Middle East & North Africa,High income,"School enrollment, secondary, female (% gross)",,5.194310188,5.855519772,,,,,,,,,,6.263539791,5.848849773,,,,,,,,,,,,,,,10.03909016,9.774909973,11.62817001,12.74489975,14.22659969,,,,,,19.46936989,20.71031952,22.52490044,21.96627045,,,,,42.29494095,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,Upper middle income,"School enrollment, secondary, female (% gross)",,,72.49385834,,76.43888855,74.35294342,,76.79605103,51.89434814,,,,,,,,,,,,,,99.02224731,,,,,,,,78.10842896,,,,,,,112.2689133,120.9835129,120.3678284,117.4326935,116.3052368,125.5677032,,115.4820099,118.4574585,,115.1853027,118.9020615,,,,
Argentina,ARG,Europe & Central Asia,Upper middle income,"School enrollment, secondary, female (% gross)",47.59085083,48.29304886,49.72011185,52.53084183,55.55361938,57.63499832,59.3817482,59.51692963,59.41505051,58.80902863,59.69604874,61.16753006,62.07165909,61.90546036,68.65788269,74.28856659,73.84462738,72.87248993,73.63828278,,,,,,,,83.68595886,78.85756683,83.93900299,96.65315247,100.2045212,101.8223724,101.1853867,100.5503464,100.687851,99.29586792,98.56178284,98.59784698,99.88137817,102.7950516,104.6529388,106.842453,108.0570297,109.3140564,110.4391403,111.5614929,112.9484634,113.5865402,112.9108276,113.6552811,115.9238815,120.0273209,
Armenia,ARM,East Asia & Pacific,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75200653,,,,,,,89.60157013,88.5026474,93.56070709,99.32177734,89.54144287,,84.70526123,85.43070984,85.68183136,,,87.97823334,93.87223053,94.86218262,96.79145813,96.87210083
Aruba,ABW,Latin America & Caribbean,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7481308,93.60935974,97.01448059,102.6253662,103.4452591,101.7022476,103.4374084,108.1361771,114.5642166,105.0957184,103.4188004,99.67568207,99.83862305,115.8672638,,,,,,,,,,
